metric,metric_label,direction,method,n_snr_pairs,mean,sd_across_snr_pairs,median,q25,q75,min,max,bootstrap_mean_ci_low,bootstrap_mean_ci_high
deep_specificity,Deep specificity,higher,dSPM,49,0.3052220888355342,0.21472037396209354,0.35294117647058826,0.08823529411764706,0.47058823529411764,0.0,0.6323529411764706,0.24489795918367346,0.3634453781512605
deep_specificity,Deep specificity,higher,sLORETA,49,0.062424969987995196,0.07761508111699239,0.029411764705882353,0.0,0.10294117647058823,0.0,0.2647058823529412,0.04201680672268907,0.08493397358943577
deep_specificity,Deep specificity,higher,eLORETA,49,0.14285714285714285,0.1341785852271666,0.14705882352941177,0.0,0.2647058823529412,0.0,0.39705882352941174,0.10654261704681874,0.17947178871548622
deep_specificity,Deep specificity,higher,LCMV,49,0.5984393757503,0.39886124219830627,0.75,0.16176470588235295,1.0,0.0,1.0,0.4867947178871549,0.7061824729891957
deep_specificity,Deep specificity,higher,Dipole fitting (grid),49,0.9930972388955582,0.011272661086838399,1.0,0.9852941176470589,1.0,0.9558823529411765,1.0,0.9897959183673469,0.9960984393757504
deep_specificity,Deep specificity,higher,RAP-MUSIC,49,0.9987995198079231,0.0050558575203759224,1.0,1.0,1.0,0.9705882352941176,1.0,0.9972989195678271,1.0
deep_balanced_accuracy,Deep balanced accuracy,higher,OASTER V19,49,0.8913565426170468,0.047432401745871294,0.8897058823529411,0.8700980392156863,0.9264705882352942,0.7401960784313726,0.9607843137254901,0.8777511004401761,0.9042617046818728
deep_balanced_accuracy,Deep balanced accuracy,higher,SISSES,49,0.494717887154862,0.22816386529355653,0.48251633986928105,0.272875816993464,0.734967320261438,0.16846405228758168,0.8109477124183007,0.4319124316393224,0.5565654595171401
deep_balanced_accuracy,Deep balanced accuracy,higher,MNE,49,0.26807723089235697,0.08685786706412811,0.27156862745098037,0.1980392156862745,0.33790849673202616,0.0946078431372549,0.4053921568627451,0.24343337334933973,0.2918067226890756
deep_balanced_accuracy,Deep balanced accuracy,higher,dSPM,49,0.4534080298786181,0.11922009608388615,0.48137254901960785,0.34313725490196073,0.5573529411764706,0.19836601307189541,0.625,0.4204278378017874,0.4859280378818194
deep_balanced_accuracy,Deep balanced accuracy,higher,sLORETA,49,0.33470054688542084,0.07345112551986749,0.3333333333333333,0.27794117647058825,0.37598039215686274,0.18333333333333335,0.47663398692810455,0.3143678304655195,0.3550887855142057
deep_balanced_accuracy,Deep balanced accuracy,higher,eLORETA,49,0.40946712018140585,0.10300259156410373,0.4338235294117647,0.3284313725490196,0.5,0.171078431372549,0.5661764705882353,0.38050211751367213,0.4375885354141657
deep_balanced_accuracy,Deep balanced accuracy,higher,LCMV,49,0.6993497398959584,0.1388484357730109,0.6985294117647058,0.5661764705882353,0.8333333333333334,0.4901960784313726,0.9093137254901962,0.6603635620915033,0.7367793784180339
deep_balanced_accuracy,Deep balanced accuracy,higher,Dipole fitting (grid),49,0.7557523009203682,0.03570276985665081,0.7671568627450981,0.7475490196078431,0.7843137254901961,0.6691176470588235,0.7941176470588236,0.745498199279712,0.7652060824329732
deep_balanced_accuracy,Deep balanced accuracy,higher,RAP-MUSIC,49,0.8348339335734295,0.07139784889946516,0.8725490196078431,0.8088235294117647,0.8848039215686274,0.6691176470588235,0.8995098039215685,0.8147258903561425,0.853391356542617
