metric,metric_label,direction,baseline,n_snr_pairs,oaster_mean,baseline_mean,mean_oriented_difference,median_oriented_difference,bootstrap_difference_ci_low,bootstrap_difference_ci_high,oaster_wins,ties,oaster_losses,win_rate_excluding_ties,common_language_win_probability,wilcoxon_p_value,holm_p_value_within_metric,paired_rank_biserial
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,sLORETA,49,4.126492703467041,11.065898985375924,6.939406281908882,6.516126121149012,6.361415136010411,7.521554107655699,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,eLORETA,49,4.126492703467041,9.378958709322056,5.252466005855016,4.030784223894913,4.536279682534608,6.023029048437283,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,LCMV,49,4.126492703467041,3.82330489850518,-0.30318780496186115,-0.9197394038587334,-0.9404292745090242,0.34381674613608165,20,0,29,0.40816326530612246,0.40816326530612246,0.3792472495957817,0.3792472495957817,-0.14612244897959184
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,Dipole fitting (grid),49,4.126492703467041,109.32253331527025,105.1960406118032,99.13018457689805,101.04883964005438,109.78956528420912,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_dle_mm_penalized,Deep penalized DLE (mm),positive difference favors OASTER,RAP-MUSIC,49,4.126492703467041,76.46224675927911,72.33575405581209,56.75047140804989,63.84838305377998,81.87411300840262,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_sensitivity,Deep sensitivity,positive difference favors OASTER,SISSES,49,0.7953181272509005,0.5650660264105642,0.23025210084033612,0.21633986928104587,0.2083299986661331,0.2525878684807256,49,0,0,1.0,1.0,1.1095728138421754e-09,8.864049502014656e-09,1.0
deep_sensitivity,Deep sensitivity,positive difference favors OASTER,MNE,49,0.7953181272509005,0.4608243297318927,0.3344937975190076,0.33888888888888896,0.3052279245031346,0.36381969454448443,49,0,0,1.0,1.0,1.1095728138421754e-09,8.864049502014656e-09,1.0
deep_sensitivity,Deep sensitivity,positive difference favors OASTER,dSPM,49,0.7953181272509005,0.601593970921702,0.19372415632919837,0.16209150326797384,0.1637046485260771,0.22377017473656122,49,0,0,1.0,1.0,1.1085281760454818e-09,8.864049502014656e-09,1.0
deep_sensitivity,Deep sensitivity,positive difference favors OASTER,sLORETA,49,0.7953181272509005,0.6069761237828465,0.18834200346805388,0.1937908496732026,0.1723821195144724,0.20376850740296115,49,0,0,1.0,1.0,1.1093115717163083e-09,8.864049502014656e-09,1.0
deep_sensitivity,Deep sensitivity,positive difference favors OASTER,eLORETA,49,0.7953181272509005,0.676077097505669,0.11924102974523142,0.12745098039215685,0.10078681472589032,0.1364812591703348,47,1,1,0.9791666666666666,0.9693877551020408,2.0966378883402388e-09,8.864049502014656e-09,0.9931972789115646
deep_sensitivity,Deep sensitivity,positive difference favors OASTER,LCMV,49,0.7953181272509005,0.8002601040416166,-0.004941976790716307,-0.1029411764705882,-0.05906362545018011,0.050055522208883506,19,0,30,0.3877551020408163,0.3877551020408163,0.7351938251025861,0.7351938251025861,-0.05551020408163265
deep_sensitivity,Deep sensitivity,positive difference favors OASTER,Dipole fitting (grid),49,0.7953181272509005,0.5184073629451781,0.2769107643057223,0.2892156862745099,0.25990396158463386,0.2938175270108043,49,0,0,1.0,1.0,1.108006187751832e-09,8.864049502014656e-09,1.0
deep_sensitivity,Deep sensitivity,positive difference favors OASTER,RAP-MUSIC,49,0.7953181272509005,0.6708683473389356,0.12444977991196478,0.11764705882352944,0.09553821528611448,0.15346138455382155,43,1,5,0.8958333333333334,0.8877551020408163,2.7091035251431237e-08,5.4182070502862474e-08,0.9217687074829932
deep_specificity,Deep specificity,positive difference favors OASTER,SISSES,49,0.9873949579831934,0.42436974789915966,0.5630252100840336,0.6176470588235294,0.45677521008403366,0.6677746098439374,47,1,1,0.9791666666666666,0.9693877551020408,1.7168418752171041e-09,8.055767214680464e-09,0.9974489795918368
deep_specificity,Deep specificity,positive difference favors OASTER,MNE,49,0.9873949579831934,0.07533013205282113,0.9120648259303722,0.9264705882352942,0.8868472388955582,0.9354741896758705,49,0,0,1.0,1.0,1.0579072802646252e-09,8.055767214680464e-09,1.0
deep_specificity,Deep specificity,positive difference favors OASTER,dSPM,49,0.9873949579831934,0.3052220888355342,0.6821728691476592,0.6176470588235294,0.6233493397358945,0.7421968787515006,49,0,0,1.0,1.0,1.0929640246706044e-09,8.055767214680464e-09,1.0
deep_specificity,Deep specificity,positive difference favors OASTER,sLORETA,49,0.9873949579831934,0.062424969987995196,0.9249699879951981,0.9558823529411765,0.9018607442977191,0.9468787515006003,49,0,0,1.0,1.0,1.006970901835058e-09,8.055767214680464e-09,1.0
deep_specificity,Deep specificity,positive difference favors OASTER,eLORETA,49,0.9873949579831934,0.14285714285714285,0.8445378151260504,0.8529411764705882,0.8055222088835534,0.8820528211284513,49,0,0,1.0,1.0,1.064434062021732e-09,8.055767214680464e-09,1.0
deep_specificity,Deep specificity,positive difference favors OASTER,LCMV,49,0.9873949579831934,0.5984393757503,0.38895558223289317,0.23529411764705888,0.2842136854741897,0.4990996398559424,33,11,5,0.868421052631579,0.7857142857142857,2.5187103039870394e-07,7.556130911961118e-07,0.9595141700404858
deep_specificity,Deep specificity,positive difference favors OASTER,Dipole fitting (grid),49,0.9873949579831934,0.9930972388955582,-0.005702280912364939,0.0,-0.009603841536614631,-0.0018007202881152487,7,21,21,0.25,0.35714285714285715,0.009198146298852912,0.009198146298852912,-0.5443349753694581
deep_specificity,Deep specificity,positive difference favors OASTER,RAP-MUSIC,49,0.9873949579831934,0.9987995198079231,-0.011404561824729877,-0.014705882352941124,-0.015306122448979574,-0.007803121248499381,2,20,27,0.06896551724137931,0.24489795918367346,2.2208936881835903e-05,4.4417873763671807e-05,-0.8804597701149425
deep_balanced_accuracy,Deep balanced accuracy,positive difference favors OASTER,SISSES,49,0.8913565426170468,0.494717887154862,0.39663865546218485,0.4071895424836601,0.33659697212218226,0.4550355142056822,49,0,0,1.0,1.0,1.1095728138421754e-09,7.756043314262825e-09,1.0
deep_balanced_accuracy,Deep balanced accuracy,positive difference favors OASTER,MNE,49,0.8913565426170468,0.26807723089235697,0.6232793117246899,0.6191176470588236,0.6035545885020676,0.6443349006269175,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
deep_balanced_accuracy,Deep balanced accuracy,positive difference favors OASTER,dSPM,49,0.8913565426170468,0.4534080298786181,0.4379485127384288,0.4598039215686274,0.4113038548752834,0.46396975456849404,49,0,0,1.0,1.0,1.1093115717163083e-09,7.756043314262825e-09,1.0
deep_balanced_accuracy,Deep balanced accuracy,positive difference favors OASTER,sLORETA,49,0.8913565426170468,0.33470054688542084,0.5566559957316259,0.5576797385620914,0.5417899659863946,0.57124883286648,49,0,0,1.0,1.0,1.1095728138421754e-09,7.756043314262825e-09,1.0
deep_balanced_accuracy,Deep balanced accuracy,positive difference favors OASTER,eLORETA,49,0.8913565426170468,0.40946712018140585,0.481889422435641,0.4779411764705882,0.45966336534613844,0.5038453714819261,49,0,0,1.0,1.0,1.1087892528281638e-09,7.756043314262825e-09,1.0
deep_balanced_accuracy,Deep balanced accuracy,positive difference favors OASTER,LCMV,49,0.8913565426170468,0.6993497398959584,0.19200680272108844,0.15571895424836601,0.1548425203414699,0.2296454415099373,48,0,1,0.9795918367346939,0.9795918367346939,1.180401049080194e-09,7.756043314262825e-09,0.9983673469387755
deep_balanced_accuracy,Deep balanced accuracy,positive difference favors OASTER,Dipole fitting (grid),49,0.8913565426170468,0.7557523009203682,0.1356042416966787,0.14215686274509798,0.12640056022408963,0.14430772308923567,49,0,0,1.0,1.0,1.108006187751832e-09,7.756043314262825e-09,1.0
deep_balanced_accuracy,Deep balanced accuracy,positive difference favors OASTER,RAP-MUSIC,49,0.8913565426170468,0.8348339335734295,0.056522609043617465,0.05882352941176472,0.0410651760704282,0.07222889155662267,38,0,11,0.7755102040816326,0.7755102040816326,3.9057107645740417e-07,3.9057107645740417e-07,0.8326530612244898
