metric,metric_label,baseline,eeg_snr_db,meg_snr_db,oaster_value,baseline_value,oriented_difference_positive_favors_oaster,outcome
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,5,-5,0.6349099609530071,1.2367743507268378,0.6018643897738307,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,5,0,0.6217243417923423,1.193185657223311,0.5714613154309688,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,5,5,0.6171379029084827,1.1432865850561278,0.5261486821476451,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,5,10,0.6524919333143127,1.1298193076098597,0.47732737429554706,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,5,15,0.6675904750236361,1.1154588644315786,0.4478683894079425,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,5,20,0.7118635877778124,1.1471715113289278,0.43530792355111536,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,10,-10,0.6686438260381565,1.1880556399826223,0.5194118139444658,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,10,-5,0.625534356374619,1.1761133167995206,0.5505789604249016,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,10,0,0.6226173229370938,1.1505552587647292,0.5279379358276354,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,10,5,0.5923454747885838,1.0977390695426092,0.5053935947540255,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,10,10,0.6039769023947166,1.091495248659858,0.48751834626514134,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,10,15,0.6349879384137691,1.0989055668937364,0.4639176284799673,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,10,20,0.6576726369861842,1.1314036072773554,0.4737309702911713,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,15,-10,0.697351973167986,1.1535710519931923,0.4562190788252063,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,15,-5,0.6779916585121482,1.1297139072308227,0.4517222487186745,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,15,0,0.6333890657344358,1.115540197466968,0.4821511317325323,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,15,5,0.6293727404083085,1.0990440482266939,0.4696713078183854,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,15,10,0.594594623672385,1.0837593496946456,0.4891647260222606,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,15,15,0.5978393124780448,1.0933911035659865,0.4955517910879417,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,15,20,0.6219974903205909,1.105369546682847,0.4833720563622561,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,20,-10,0.6982005314815768,1.1445220872864545,0.44632155580487776,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,20,-5,0.6695561626522084,1.1384932863336712,0.4689371236814628,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,20,0,0.6679378988492979,1.1218946103734329,0.45395671152413497,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,20,5,0.6129545051130852,1.118397407683986,0.5054429025709007,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,20,10,0.6086436234034852,1.0842527469687897,0.4756091235653045,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,20,15,0.5851992524163374,1.0810398244085877,0.4958405719922503,win
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,20,20,0.5912052088669877,1.08177633835885,0.4905711294918622,win
rmse,Squared relative error (historical RMSE field),Dipole fitting (grid),-10,-10,0.800315860269666,1.5746963362251776,0.7743804759555116,win
rmse,Squared relative error (historical RMSE field),Dipole fitting (grid),-10,-5,0.7712560505025302,1.3850913345096822,0.613835284007152,win
rmse,Squared relative error (historical RMSE field),Dipole fitting (grid),-10,0,0.7851552014310887,1.308481768320365,0.5233265668892761,win
rmse,Squared relative error (historical RMSE field),Dipole fitting (grid),-10,5,0.7919584337362544,1.2778705720867483,0.48591213835049385,win
