source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
132,11334,-34.0,-72.0,-48.00000000000001,2.7874938491044767e-23,3.1545029805684173e-23,0.5371702434901595,-0.5371702434901595
133,11336,-26.000000000000007,-72.0,-48.00000000000001,2.8809376337833143e-23,3.300673550720196e-23,0.5906871623981984,-0.5906871623981984
134,11338,-18.0,-72.0,-48.00000000000001,2.7857948557999916e-23,3.2443575185505216e-23,0.6617957404658759,-0.6617957404658759
135,11340,-10.0,-72.0,-48.00000000000001,2.5325994496141788e-23,2.9573119239538516e-23,0.6733062621266548,-0.6733062621266548
136,11342,-2.0,-72.0,-48.00000000000001,2.4706131050497144e-23,2.795676884081579e-23,0.5368223477612285,-0.5368223477612285
137,11344,6.000000000000001,-72.0,-48.00000000000001,2.455991049967148e-23,2.8043770151882444e-23,0.5760961912354117,-0.5760961912354117
138,11346,14.000000000000002,-72.0,-48.00000000000001,2.356900578730336e-23,2.704788176985367e-23,0.5979199635656156,-0.5979199635656156
139,11348,22.0,-72.0,-48.00000000000001,2.1761746519259924e-23,2.5247651777309875e-23,0.6452724432625099,-0.6452724432625099
140,11350,30.000000000000004,-72.0,-48.00000000000001,2.029224916028639e-23,2.3643868233651612e-23,0.6638834417375549,-0.6638834417375549
141,11352,38.0,-72.0,-48.00000000000001,1.7223828901677822e-23,2.014540572106039e-23,0.6804631570745734,-0.6804631570745734
142,11354,46.000000000000014,-72.0,-48.00000000000001,1.4586560919094932e-23,1.7012526605827156e-23,0.6681590727247988,-0.6681590727247988
143,11406,-50.000000000000014,-64.0,-48.00000000000001,2.3035298667272125e-23,2.6006941916980305e-23,0.5269544020471897,-0.5269544020471897
144,11408,-42.0,-64.0,-48.00000000000001,2.6087886981951629e-23,2.9897799002178593e-23,0.5920031352677926,-0.5920031352677926
145,11410,-34.0,-64.0,-48.00000000000001,2.9150115539143846e-23,3.368835025692127e-23,0.6283946332004618,-0.6283946332004618
146,11412,-26.000000000000007,-64.0,-48.00000000000001,3.0988192710666e-23,3.5986171066749303e-23,0.6493939201028788,-0.6493939201028788
147,11414,-18.0,-64.0,-48.00000000000001,3.074742969143765e-23,3.584203135211526e-23,0.6658379828383238,-0.6658379828383238
148,11416,-10.0,-64.0,-48.00000000000001,2.868172917120725e-23,3.3332106598222574e-23,0.6525743141891404,-0.6525743141891404
149,11418,-2.0,-64.0,-48.00000000000001,2.686442036880913e-23,3.0543968348845284e-23,0.5574798641656804,-0.5574798641656804
150,11420,6.000000000000001,-64.0,-48.00000000000001,2.6529954261821445e-23,3.0044082901762504e-23,0.5402245042429813,-0.5402245042429813
151,11422,14.000000000000002,-64.0,-48.00000000000001,2.574859035080073e-23,2.935429893383917e-23,0.5691825476251482,-0.5691825476251482
152,11424,22.0,-64.0,-48.00000000000001,2.3985921618143625e-23,2.7539332783759506e-23,0.5999700391994256,-0.5999700391994256
153,11426,30.000000000000004,-64.0,-48.00000000000001,2.1823368200049587e-23,2.4998362347335253e-23,0.5898977873386457,-0.5898977873386457
154,11428,38.0,-64.0,-48.00000000000001,1.952125427552267e-23,2.241384315275881e-23,0.6000861008411404,-0.6000861008411404
155,11430,46.000000000000014,-64.0,-48.00000000000001,1.7535179968347535e-23,2.0233031700865727e-23,0.6215073445186878,-0.6215073445186878
156,11482,-50.000000000000014,-56.0,-48.00000000000001,2.2725139462339662e-23,2.587714165594186e-23,0.5640974610050422,-0.5640974610050422
157,11484,-42.0,-56.0,-48.00000000000001,2.5670058187975965e-23,2.987483028034329e-23,0.6587859360947722,-0.6587859360947722
158,11486,-34.0,-56.0,-48.00000000000001,2.896689802145792e-23,3.400886051673938e-23,0.696900905349602,-0.696900905349602
159,11488,-26.000000000000007,-56.0,-48.00000000000001,3.155322032744656e-23,3.697623141093112e-23,0.6887895610241368,-0.6887895610241368
160,11490,-18.0,-56.0,-48.00000000000001,3.238937281294453e-23,3.768992927838171e-23,0.6582278411400521,-0.6582278411400521
161,11492,-10.0,-56.0,-48.00000000000001,3.13809498733506e-23,3.6099556845473e-23,0.6083578542666361,-0.6083578542666361
162,11494,-2.0,-56.0,-48.00000000000001,2.9468468376292064e-23,3.343158823324396e-23,0.5479944511487722,-0.5479944511487722
163,11496,6.000000000000001,-56.0,-48.00000000000001,2.7723748213482705e-23,3.102287223954563e-23,0.48830058371190277,-0.48830058371190277
164,11498,14.000000000000002,-56.0,-48.00000000000001,2.664060844691036e-23,2.9646849841833907e-23,0.4643441422410398,-0.4643441422410398
