source_index,hemisphere,vertex,x_m,y_m,z_m,label,beta_pmbr_db
4381,right,131240,0.00996316736019407,0.06740013408086151,0.07891021187816674,superiorfrontal-rh,0.31818986587363784
4382,right,131255,0.02290834779005956,0.06664064759219064,0.07647166600531567,rostralmiddlefrontal-rh,0.5152945268944666
4383,right,131293,0.040706735631594666,0.06525523246531766,0.07243460720367982,rostralmiddlefrontal-rh,0.6203826043689341
4384,right,131413,0.004975185625834721,0.06084642818668273,0.06641979419150479,caudalanteriorcingulate-rh,0.27081796171272166
4385,right,131548,0.04925319422945361,0.057704602147884906,0.056516052701329554,parstriangularis-rh,0.6178391113697507
4386,right,131638,0.02626164854418318,0.052477799450537,0.04678019147573816,lateralorbitofrontal-rh,0.3939761971770166
4387,right,131700,0.0002313736784971337,0.049710734013420244,0.04387225296707361,rostralanteriorcingulate-rh,0.4334713253429867
4388,right,131837,0.005745261141669842,0.045598145448366975,0.03364910021894087,medialorbitofrontal-rh,0.4989848483382468
4389,right,131870,0.021525211808196287,0.043619906601338576,0.029987209566952548,lateralorbitofrontal-rh,0.5494880658421457
4390,right,131911,0.03959379202714686,0.04351146434977084,0.025237539215809894,superiortemporal-rh,0.5448862468815451
4391,right,131995,0.024018750217408482,0.03693364986363218,0.01283372884900026,temporalpole-rh,0.3306149237356466
4392,right,132077,0.022355566247211075,0.07106685258849994,0.08089778375314566,rostralmiddlefrontal-rh,0.531045391445164
4393,right,132126,0.029312765632584913,0.06912162060264292,0.07847329288137397,rostralmiddlefrontal-rh,0.6204729286664863
4394,right,132240,0.027113281094574372,0.0644258916486553,0.06751451395920903,rostralmiddlefrontal-rh,0.3798515113121766
4395,right,132320,0.02593718333962964,0.061102617357951666,0.06184207414182229,rostralmiddlefrontal-rh,0.3668301331776241
4396,right,132341,0.04609583947268624,0.06089287323196424,0.06036986002017479,rostralmiddlefrontal-rh,0.6097631400082484
4397,right,132358,0.006988525957380103,0.05885914262274429,0.05930797307537815,caudalanteriorcingulate-rh,0.31050205006508624
