metric,scenario,comparison,analysis_unit,configuration_count,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,median_difference,cohen_dz,wins,ties,losses,wilcoxon_statistic,wilcoxon_p,holm_adjusted_p
deep_auc_tie_corrected,all,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),233,0.16965344077545183,0.14421666520685528,0.19542845464366002,0.13061224489795908,0.8330417846253496,192,1,40,2803.5,1.2417418131663074e-25,3.630684797636495e-25
deep_auc_tie_corrected,all,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),233,0.18432746489153604,0.15802137163878424,0.2110601150331377,0.15646258503401378,0.8864178221263148,196,0,37,2500.0,3.2133253293464472e-27,1.2853301317385789e-26
deep_auc_tie_corrected,all,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),233,0.013295962161688697,-0.00405258240635312,0.030329187468979005,-0.0027210884353743303,0.09891556982779913,111,1,121,12458.5,0.3023629854938129,0.3023629854938129
deep_auc_tie_corrected,all,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),233,0.25088318589238273,0.23422352632039942,0.26683907039210536,0.28367346938775506,1.9409414533385851,225,1,7,51.5,1.5974663589567593e-39,1.1182264512697316e-38
deep_auc_tie_corrected,all,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),233,0.21079384543516974,0.19476752503576536,0.22684593150564944,0.24489795918367363,1.6698805804535224,224,0,9,85.5,1.6908367651310896e-39,1.1182264512697316e-38
deep_auc_tie_corrected,deep_only,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),30,0.10603174603174605,0.06897959183673467,0.14571428571428574,0.05986394557823138,0.9732131471844843,27,1,2,5.0,4.326153666938114e-06,3.0283075668566798e-05
deep_auc_tie_corrected,deep_only,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),30,0.033786848072562346,0.021043083900226762,0.0478004535147392,0.01904761904761909,0.8770809165337784,27,1,2,12.0,8.837243982530104e-06,5.302346389518062e-05
deep_auc_tie_corrected,deep_only,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),30,0.0069387755102040686,0.0026303854875283227,0.011882086167800439,0.002721088435374275,0.5261503082566368,20,1,9,96.0,0.008591119571144681,0.017182239142289363
deep_auc_tie_corrected,deep_only,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),30,0.007165532879818596,0.0034013605442176687,0.011337868480725655,0.005442176870748272,0.6422917943491537,23,0,7,77.0,0.0013687019132477087,0.0042557479231374404
deep_auc_tie_corrected,deep_only,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),30,0.006213151927437622,0.0012698412698412727,0.01133786848072558,0.0013605442176871652,0.43821445394904707,17,1,12,134.0,0.07079269907111038,0.07079269907111038
