case_id,development_role,label_posthoc,eeg_snr_db_posthoc_not_used,meg_snr_db_posthoc_not_used,old_fixed_3_to_1_score,eeg_gain,meg_gain,eeg_response_excess,meg_response_excess,cross_modal_consensus,snr_blind_consensus
erp-v6-hierarchical-v1-surface-calibration-024-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.3035348289653522,0.01116994852546018,1.1806294702850284,0.015872089138285084,38.587248031434775,0.12600709587214884,0.05023497313176242
erp-v6-hierarchical-v1-surface-calibration-025-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.2446167876813807,0.026539392839450567,0.8988489722071711,0.10731514915624207,66.01465659972688,0.18098972782368586,0.06325742042054415
erp-v6-hierarchical-v1-surface-calibration-026-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.36532961336530034,0.02775028076073397,1.3780676111789993,0.01304001490156348,64.24576269066078,0.22330529378134464,0.07857075759856992
erp-v6-hierarchical-v1-surface-calibration-027-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.2025508063533091,-0.0029053066666127315,0.8189191454130746,0.0,64.44262902811009,-0.0029053066666127315,-0.0010214727753705048
erp-v6-hierarchical-v1-surface-calibration-028-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.3974387537008126,0.02252068334370634,1.5221929647721315,0.08997630211415131,90.09270379076112,0.20767150226614778,0.06722116057713308
erp-v6-hierarchical-v1-surface-calibration-029-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.3421778782988956,0.026377779943991996,1.2895781733636065,0.044735215234388725,44.236349170501065,0.21081261742747925,0.08128767716135006
erp-v6-hierarchical-v1-surface-calibration-030-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.21114866902900406,0.005410289054159435,0.8283638089535379,0.0,44.90846116108281,0.07235569702545455,0.027797103726791023
erp-v6-hierarchical-v1-surface-calibration-031-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.8694200919936907,0.026169579901351943,3.399171628270707,0.0,77.96553182106442,0.32442264949903243,0.10883078847199049
erp-v6-hierarchical-v1-surface-calibration-032-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.30008161204581035,0.018074278014909108,1.1461036141385141,0.06689737155987374,38.32103703265422,0.16200132674388018,0.06469375068244318
erp-v6-hierarchical-v1-surface-calibration-033-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.2511124133277356,0.006468386845848872,0.9850444927733957,0.0,37.145456240652805,0.08629099542030795,0.03472200341483912
erp-v6-hierarchical-v1-surface-calibration-034-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.4505938473360612,0.012203200051522575,1.7657657891896772,0.02768981317865382,96.23933384588136,0.15899554716000186,0.05063192832389855
