method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
MNE,5,5,deep_plus_surface,case_weighted_within_scenario,1,1,0.7611574074074074,0.8841894596397598,0.8901069518716577,0.6666666666666667,1.8289912805628032,26.41095351183679,21.236205593919493,23.348726689759975,20.000001097096984,0.22923248664250584,20.000001097096984,271.0,256.0,15.0,26.41095351183679,21.236205593919493,234.02911185627735,234.02911185627735,0.0,nan,nan
MNE,5,5,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.8037301465836819,0.8302556565116693,0.8327893223022977,0.5333333333333333,1.8312977961974526,26.092953384419015,19.805935815307325,25.960905624450056,20.000001097096984,0.2725947631199103,20.000001097096984,306.0,290.0,16.0,26.092953384419015,19.805935815307325,234.02911185627735,234.02911185627735,0.0,nan,nan
MNE,5,5,surface_only,case_weighted_within_scenario,1,1,0.7847839506172839,0.9075062255425116,0.907516339869281,nan,1.797916673103478,25.099925351326668,11.94345982554302,nan,nan,0.2702274678573774,nan,262.0,255.0,7.0,25.099925351326668,11.94345982554302,nan,nan,nan,0.0,nan
MNE,20,-10,deep_only,case_weighted_within_scenario,1,1,0.92,0.9932117662717955,nan,1.0,1.9295036225405253,nan,nan,22.46822938048521,0.0,0.6571238140968098,0.0,733.0,717.0,16.0,nan,nan,22.46822938048521,0.0,1.0,nan,nan
MNE,20,-10,deep_plus_surface,case_weighted_within_scenario,1,1,0.7913117283950617,0.9467785541238019,0.9601530005941772,0.8,1.7247632118302136,17.714775787645646,22.28269957055816,18.153645071224787,20.000001097096984,0.12975268321438488,20.000001097096984,300.0,292.0,8.0,17.714775787645646,22.28269957055816,234.02911185627735,234.02911185627735,0.0,nan,nan
MNE,20,-10,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.8497893922388872,0.9268572955638696,0.9349310483331101,0.8,1.7504101914458092,16.572504638578078,15.493148734765628,25.76257337753101,20.000001097096984,0.1433103651983459,20.000001097096984,368.0,352.0,16.0,16.572504638578078,15.493148734765628,234.02911185627735,234.02911185627735,0.0,nan,nan
MNE,20,-10,surface_only,case_weighted_within_scenario,1,1,0.8446913580246915,0.9561988616150836,0.9561423054070113,nan,1.698566424465777,17.376000478570067,22.28269957055816,nan,nan,0.1308549515739935,nan,277.0,273.0,4.0,17.376000478570067,22.28269957055816,nan,nan,nan,1.0,nan
MNE,20,20,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,1.8153357937343984,nan,nan,15.52382874790717,0.0,1.0,0.0,341.0,332.0,9.0,nan,nan,15.52382874790717,0.0,1.0,nan,nan
MNE,20,20,deep_plus_surface,case_weighted_within_scenario,1,1,0.8360648148148149,0.9234717882096837,0.9252673796791444,0.8,1.7641531282408345,21.10684177221979,21.236205593919493,15.596336602481939,20.000001097096984,0.2673455074459417,20.000001097096984,255.0,249.0,6.0,21.10684177221979,21.236205593919493,234.02911185627735,234.02911185627735,0.0,nan,nan
MNE,20,20,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.8393220929837092,0.8846027079992873,0.8869580472851003,0.4,1.779634075504654,21.88078860368499,17.31214551126048,26.29143086352747,20.000001097096984,0.26800790247396783,20.000001097096984,341.0,326.0,15.0,21.88078860368499,17.31214551126048,234.02911185627735,234.02911185627735,0.0,nan,nan
MNE,20,20,surface_only,case_weighted_within_scenario,1,1,0.7826851851851854,0.9214544053124629,0.9215612002376709,nan,1.7480912969083755,21.709036468739242,21.236205593919493,nan,nan,0.25886465937830394,nan,284.0,280.0,4.0,21.709036468739242,21.236205593919493,nan,nan,nan,0.0,nan
OASTER-ERP-v5,-10,-10,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,0.5244016263028789,nan,nan,7.032212906784249,0.0,1.0,0.0,4.0,2.0,2.0,nan,nan,7.032212906784249,0.0,1.0,nan,nan
OASTER-ERP-v5,-10,-10,deep_plus_surface,case_weighted_within_scenario,1,1,0.8301851851851851,0.9922755521224677,0.9922385620915033,0.9333333333333333,2.0553631862009833,4.336040431655803,7.755141529980423,29.488025295416733,41.23105692695092,1.0,41.23105692695092,5.0,1.0,4.0,4.336040431655803,7.755141529980423,234.02911185627735,234.02911185627735,0.0,nan,nan
OASTER-ERP-v5,-10,-10,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.7650865557936265,0.990294851238197,0.9904801916888656,0.9333333333333333,2.0470922246379146,6.511345271813278,10.892982850438937,11.525665216427578,14.142136204249597,1.0,14.142136204249597,5.0,3.0,2.0,6.511345271813278,10.892982850438937,234.02911185627735,234.02911185627735,0.0,nan,nan
OASTER-ERP-v5,-10,-10,surface_only,case_weighted_within_scenario,1,1,0.6096296296296296,0.992610873947587,0.9931298276886513,nan,1.948522800385173,39.731809296222096,7.28359507759414,nan,nan,1.0,nan,6.0,3.0,3.0,39.731809296222096,7.28359507759414,nan,nan,nan,0.0,nan
OASTER-ERP-v5,-10,20,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,0.0006796732110155843,nan,nan,0.0,0.0,1.0,0.0,3.0,2.0,1.0,nan,nan,0.0,0.0,1.0,nan,nan
OASTER-ERP-v5,-10,20,deep_plus_surface,case_weighted_within_scenario,1,1,0.9301543209876544,0.9979424879744391,0.998083778966132,0.9333333333333333,1.1881361444569616,2.231160636897264,6.34456081436325,10.554095375485021,14.142136031724077,1.0,14.142136031724077,6.0,4.0,2.0,2.231160636897264,6.34456081436325,234.02911185627735,234.02911185627735,0.0,nan,nan
OASTER-ERP-v5,-10,20,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.7930751113831921,0.9885489043292357,0.98839340538594,1.0,1.336993400921262,5.576758958340522,11.592156564316303,18.975776985873143,0.0,1.0,0.0,7.0,4.0,3.0,5.576758958340522,11.592156564316303,18.975776985873143,0.0,1.0,nan,nan
OASTER-ERP-v5,-10,20,surface_only,case_weighted_within_scenario,1,1,0.7488425925925927,0.9974134353136488,0.9979129530600119,nan,1.6910590591497832,0.0,7.28359507759414,nan,nan,1.0,nan,4.0,2.0,2.0,0.0,7.28359507759414,nan,nan,nan,0.0,nan
OASTER-ERP-v5,5,5,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,0.02836604949049709,nan,nan,0.0,0.0,1.0,0.0,2.0,1.0,1.0,nan,nan,0.0,0.0,1.0,nan,nan
OASTER-ERP-v5,5,5,deep_plus_surface,case_weighted_within_scenario,1,1,0.8825617283950618,0.9937080860924827,0.9936051693404635,1.0,1.6648589263799787,5.997957856307274,4.2852815273583476,9.298170555050497,0.0,1.0,0.0,6.0,4.0,2.0,5.997957856307274,4.2852815273583476,9.298170555050497,0.0,1.0,nan,nan
OASTER-ERP-v5,5,5,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.7309410179233412,0.9816720114021023,0.981675984875416,0.9333333333333333,1.9281365479387316,9.280018712076263,14.189386287490997,13.8387316728972,10.00000054854849,1.0,10.00000054854849,10.0,7.0,3.0,9.280018712076263,14.189386287490997,13.8387316728972,10.00000054854849,1.0,nan,nan
OASTER-ERP-v5,5,5,surface_only,case_weighted_within_scenario,1,1,0.59820987654321,0.9843546187596348,0.9847222222222223,nan,1.970122914221202,8.024522275602841,11.94345982554302,nan,nan,0.8561504511227531,nan,5.0,2.0,3.0,8.024522275602841,11.94345982554302,nan,nan,nan,0.0,nan
OASTER-ERP-v5,20,-10,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,0.004202813030551279,nan,nan,0.0,0.0,1.0,0.0,2.0,1.0,1.0,nan,nan,0.0,0.0,1.0,nan,nan
OASTER-ERP-v5,20,-10,deep_plus_surface,case_weighted_within_scenario,1,1,0.8533179012345679,0.9863277272567677,0.9856654783125371,1.0,1.4501002523345807,11.391008179645699,27.054572893232315,0.0,0.0,1.0,0.0,16.0,15.0,1.0,11.391008179645699,27.054572893232315,0.0,0.0,1.0,nan,nan
OASTER-ERP-v5,20,-10,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.7374223718668164,0.8709825405309104,0.8666718990217034,0.9333333333333333,1.6033236716345756,21.908421272235735,25.051935779765806,18.45114161212093,14.142136204249597,1.0,14.142136204249597,10.0,6.0,4.0,21.908421272235735,25.051935779765806,234.02911185627735,234.02911185627735,0.0,nan,nan
OASTER-ERP-v5,20,-10,surface_only,case_weighted_within_scenario,1,1,0.6906944444444444,0.9924700581050635,0.992706476530006,nan,1.7124223032662436,12.438083367646513,18.159854029372575,nan,nan,0.5310923432619808,nan,4.0,2.0,2.0,12.438083367646513,18.159854029372575,nan,nan,nan,0.0,nan
OASTER-ERP-v5,20,20,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,0.0008281358283743225,nan,nan,0.0,0.0,1.0,0.0,2.0,1.0,1.0,nan,nan,0.0,0.0,1.0,nan,nan
OASTER-ERP-v5,20,20,deep_plus_surface,case_weighted_within_scenario,1,1,0.9566049382716049,0.998504266001896,0.9984848484848485,1.0,0.9213613749518076,0.0,6.592432793018648,0.0,0.0,0.5790794873178104,0.0,3.0,2.0,1.0,0.0,6.592432793018648,0.0,0.0,1.0,nan,nan
OASTER-ERP-v5,20,20,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.968105975580723,0.9975904151077856,0.9976962248558409,1.0,0.6209268229055289,1.8649084623368104,7.2071419747509875,0.0,0.0,1.0,0.0,10.0,9.0,1.0,1.8649084623368104,7.2071419747509875,0.0,0.0,1.0,nan,nan
OASTER-ERP-v5,20,20,surface_only,case_weighted_within_scenario,1,1,0.8525,0.9955087157595162,0.9960710041592395,nan,1.3376031183640702,0.0,6.592432793018648,nan,nan,0.3116831609645207,nan,6.0,1.0,5.0,0.0,6.592432793018648,nan,nan,nan,0.0,nan
RAP-MUSIC,-10,-10,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,0.4035312353187274,nan,nan,0.0,0.0,1.0,0.0,2.0,1.0,1.0,nan,nan,0.0,0.0,1.0,nan,nan
RAP-MUSIC,-10,-10,deep_plus_surface,case_weighted_within_scenario,1,1,0.5,0.4999332888592395,0.4999331550802139,0.5,2.0000000000000004,4.336040431655803,7.755141529980423,nan,nan,0.0,nan,1.0,1.0,0.0,4.336040431655803,7.755141529980423,234.02911185627735,234.02911185627735,0.0,nan,nan
RAP-MUSIC,-10,-10,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.5145959595959596,0.5165375022269731,0.5171121093623761,0.5,1.8291571905497495,4.769138544347843,8.696724427557738,nan,nan,0.0,nan,3.0,3.0,0.0,4.769138544347843,8.696724427557738,234.02911185627735,234.02911185627735,0.0,nan,nan
