source_index,mni_x_mm,mni_y_mm,mni_z_mm,DICS_erd_db,LCMV_erd_db,MNE_erd_db,dSPM_erd_db,sLORETA_erd_db,eLORETA_erd_db
2255,-42.0,-72.0,16.000000000000007,-0.02029968685557572,-0.017741542324330232,0.1578790869208967,0.15787908692079256,0.15787908692077954,0.14824302325958025
2256,-34.0,-72.0,16.000000000000007,-0.20545714118576636,-0.2014807058982101,0.1002526819701794,0.10025268197020486,0.1002526819701436,0.10156068355713169
2257,-26.000000000000007,-72.0,16.000000000000007,-0.3486504875057006,-0.33824088062855745,-0.011234354321508891,-0.011234354321541282,-0.011234354321524361,0.006635843388026146
2258,-18.0,-72.0,16.000000000000007,-0.376007630323355,-0.3483945970286814,-0.033104698870840304,-0.03310469887109149,-0.033104698871026385,-0.01907698454622735
2259,-10.0,-72.0,16.000000000000007,-0.2993319701842252,-0.24970664516742225,0.04593753991691732,0.04593753991747075,0.04593753991737724,0.041502609865591636
2260,-2.0,-72.0,16.000000000000007,-0.17732603934236868,-0.11889217478576519,0.07415568678972596,0.07415568679064648,0.0741556867905166,0.050864840311778646
2261,6.000000000000001,-72.0,16.000000000000007,-0.08460529439007784,-0.04131855261115106,0.01791470068132642,0.017914700681507932,0.01791470068148008,0.008514121675229178
2262,14.000000000000002,-72.0,16.000000000000007,-0.06259430730175482,-0.04689613704870421,-0.04329425176435752,-0.043294251764609784,-0.04329425176456499,-0.050716136230466044
2263,22.0,-72.0,16.000000000000007,-0.13999841400886137,-0.12747986997582605,-0.050421365704022655,-0.05042136570413046,-0.05042136570410266,-0.08710620216985643
2264,30.000000000000004,-72.0,16.000000000000007,-0.1655625847501262,-0.15482442150254216,-0.031788174194465425,-0.031788174194471254,-0.031788174194468825,-0.08176505083025351
2265,38.0,-72.0,16.000000000000007,-0.14495746533532047,-0.14031142824163767,-0.03527783472372171,-0.03527783472370032,-0.035277834723710044,-0.07047409951731297
2266,46.000000000000014,-72.0,16.000000000000007,-0.09000849218905255,-0.09625165977544022,-0.04936753835081763,-0.049367538350777146,-0.04936753835079958,-0.08074205776329944
2267,54.000000000000014,-72.0,16.000000000000007,0.06596571045424156,0.051199952099506396,-0.00710828410647027,-0.007108284106462543,-0.0071082841064673725,-0.020209904707395504
2268,-58.00000000000001,-64.0,16.000000000000007,0.2068171820160798,0.19379439970609233,0.08178971395558733,0.08178971395550878,0.08178971395555137,0.036433403186969464
2269,-50.000000000000014,-64.0,16.000000000000007,0.18359582716325606,0.18143975242761312,0.1191446200563205,0.1191446200562154,0.1191446200562398,0.031501202937791226
2270,-42.0,-64.0,16.000000000000007,0.10813212277142206,0.10658989524040102,0.18981674656264275,0.1898167465625975,0.1898167465625172,0.1204591605964876
2271,-34.0,-64.0,16.000000000000007,-0.04546012928748024,-0.05317855137883973,0.20000839412978189,0.20000839413017973,0.20000839412993385,0.14627470928174563
2272,-26.000000000000007,-64.0,16.000000000000007,-0.22381484303441526,-0.22906098122809843,0.08432586051715202,0.08432586051774504,0.08432586051758992,0.0910740633611739
2273,-18.0,-64.0,16.000000000000007,-0.31920536755213774,-0.3097419342649486,0.03261289583419652,0.032612895834700915,0.032612895834632005,0.04917442885298821
2274,-10.0,-64.0,16.000000000000007,-0.27971234482324575,-0.24959709213704778,0.09878527747563341,0.09878527747798435,0.09878527747777886,0.09213814714246821
2275,-2.0,-64.0,16.000000000000007,-0.16229831262451616,-0.11852292033071299,0.14069681123279565,0.14069681123656547,0.14069681123630312,0.09987230033585913
2276,6.000000000000001,-64.0,16.000000000000007,-0.04900425008323592,-0.01157926454318583,0.09969041382782755,0.09969041383011203,0.09969041382994427,0.02247417751244686
2277,14.000000000000002,-64.0,16.000000000000007,0.023143507441750737,0.03979486700858862,0.029654553005214048,0.029654553005638337,0.02965455300559524,-0.055583082204939044
2278,22.0,-64.0,16.000000000000007,-0.03448103123764419,-0.012216353746023255,-0.013009673169409888,-0.013009673169489686,-0.013009673169478077,-0.08779094470475418
2279,30.000000000000004,-64.0,16.000000000000007,-0.06689296772939454,-0.049274974960545,-0.022657633101927022,-0.02265763310197016,-0.02265763310196192,-0.06910069874301851
2280,38.0,-64.0,16.000000000000007,-0.050684944575537266,-0.039904814561791735,-0.015342131486990113,-0.015342131486991567,-0.015342131486990597,-0.024549381593115396
2281,46.000000000000014,-64.0,16.000000000000007,0.009791032756560694,0.01228113040078349,0.0031945175555182868,0.0031945175555163595,0.003194517555517323,0.01823860679164287
2282,54.000000000000014,-64.0,16.000000000000007,0.1029924638366527,0.09959939004932211,0.02055271703835556,0.020552717038338282,0.02055271703834884,0.03420244289020437
2283,-58.00000000000001,-56.0,16.000000000000007,0.06909730137538475,0.030208893331119466,0.04428116196654181,0.04428116196649886,0.04428116196651795,0.0938699161813425
2284,-50.000000000000014,-56.0,16.000000000000007,0.11663376175746287,0.08604632820744926,0.10491558326752477,0.104915583267457,0.104915583267457,0.06990609822073778
2285,-42.0,-56.0,16.000000000000007,0.1393294880610863,0.1222128463295929,0.17186891330232457,0.17186891330242374,0.17186891330229953,0.0768293753858666
2286,-34.0,-56.0,16.000000000000007,0.07756749093748588,0.06605482606103895,0.2154150356320256,0.2154150356330029,0.21541503563266615,0.09991921739134024
2287,-26.000000000000007,-56.0,16.000000000000007,-0.06175536851387223,-0.07461175476310877,0.17206772951799587,0.17206772952022592,0.1720677295198672,0.11232158555540066
