source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
68,7774,14.000000000000002,-64.0,-56.0,1.1418703446075428e-24,1.3162311332257366e-24,0.6171536500176515,-0.6171536500176515
69,7776,22.0,-64.0,-56.0,1.04663900335014e-24,1.2205409763612148e-24,0.6675544942681988,-0.6675544942681988
70,7778,30.000000000000004,-64.0,-56.0,9.753199882589389e-25,1.1648406844926831e-24,0.77119406114342,-0.77119406114342
71,7780,38.0,-64.0,-56.0,9.367532195735032e-25,1.1241626744722307e-24,0.7920396691749825,-0.7920396691749825
72,7782,46.000000000000014,-64.0,-56.0,7.8246913131727165e-25,8.78115277664872e-25,0.5008431969475753,-0.5008431969475753
73,7834,-50.000000000000014,-56.0,-56.0,1.0156961475056815e-24,1.1612816102221314e-24,0.5817374351569027,-0.5817374351569027
74,7836,-42.0,-56.0,-56.0,1.1223305832004658e-24,1.3375560727563234e-24,0.7619119999603565,-0.7619119999603565
75,7838,-34.0,-56.0,-56.0,1.24480478623348e-24,1.503412410137683e-24,0.8197688137529742,-0.8197688137529742
76,7840,-26.000000000000007,-56.0,-56.0,1.3445563929572279e-24,1.6258416578209937e-24,0.8249922500535125,-0.8249922500535125
77,7842,-18.0,-56.0,-56.0,1.3935834481974902e-24,1.671558808112217e-24,0.7898868085911848,-0.7898868085911848
78,7844,-10.0,-56.0,-56.0,1.3644510311741909e-24,1.6098028818415786e-24,0.7181474664543288,-0.7181474664543288
79,7846,-2.0,-56.0,-56.0,1.2907566985652775e-24,1.4931405382826185e-24,0.6325629902035901,-0.6325629902035901
80,7848,6.000000000000001,-56.0,-56.0,1.2161865837529144e-24,1.3856978474716375e-24,0.5666833411358183,-0.5666833411358183
81,7850,14.000000000000002,-56.0,-56.0,1.1446329242076265e-24,1.2969060236821653e-24,0.542422736130752,-0.542422736130752
82,7852,22.0,-56.0,-56.0,1.0603931437920757e-24,1.2088588202271815e-24,0.5690867255065378,-0.5690867255065378
83,7854,30.000000000000004,-56.0,-56.0,9.841185543286774e-25,1.1495308445361442e-24,0.6747320890847324,-0.6747320890847324
84,7856,38.0,-56.0,-56.0,9.182347860129505e-25,1.0859700048993806e-24,0.728640885936087,-0.728640885936087
85,7858,46.000000000000014,-56.0,-56.0,8.18402765831349e-25,9.726103629305815e-25,0.749718041348444,-0.749718041348444
86,7912,-42.0,-48.0,-56.0,1.0798060990163821e-24,1.2609314306926844e-24,0.6734569418415698,-0.6734569418415698
87,7914,-34.0,-48.0,-56.0,1.1914415297370752e-24,1.4191095546829588e-24,0.7594319000438035,-0.7594319000438035
88,7916,-26.000000000000007,-48.0,-56.0,1.3137181891785975e-24,1.5616693492436723e-24,0.7508687351092304,-0.7508687351092304
89,7918,-18.0,-48.0,-56.0,1.393703820380428e-24,1.633754176794784e-24,0.6901622037225943,-0.6901622037225943
90,7920,-10.0,-48.0,-56.0,1.4158094347798464e-24,1.623812881884518e-24,0.5953118030099511,-0.5953118030099511
91,7922,-2.0,-48.0,-56.0,1.3733683236752438e-24,1.5409540372684893e-24,0.5000265871113752,-0.5000265871113752
92,7924,6.000000000000001,-48.0,-56.0,1.2994781999880055e-24,1.4380249894488478e-24,0.43997434930598545,-0.43997434930598545
93,7926,14.000000000000002,-48.0,-56.0,1.211924268027226e-24,1.3413671726115959e-24,0.44072191573343034,-0.44072191573343034
94,7928,22.0,-48.0,-56.0,1.1207050551727302e-24,1.2517123301187091e-24,0.4801319940098786,-0.4801319940098786
95,7930,30.000000000000004,-48.0,-56.0,1.0328116463074293e-24,1.1671887443472282e-24,0.531199643092558,-0.531199643092558
96,7932,38.0,-48.0,-56.0,9.423144396408607e-25,1.0771557920661208e-24,0.5808267495080992,-0.5808267495080992
