method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,5,15,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8090417014193352,0.6795626549646022,1.922653542760592,40.068321066957246,41.094645072341336,12.299683480759622,3.4388619131517593,0.9039294530684159,1.2982980975062939,893.6176470588235,40.068321066957246,41.094645072341336,12.299683480759622,3.4388619131517593,0.9705882352941176,nan,nan
LCMV,5,15,surface_only,case_weighted_within_scenario,68,1,0.581905499720327,0.6753251798374602,1.9868602124922086,56.312260707829566,48.98757786975321,nan,nan,0.3210367944925249,nan,965.2205882352941,56.312260707829566,48.98757786975321,nan,nan,nan,0.16176470588235295,nan
LCMV,5,20,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,1.0620008317290213,nan,nan,0.0,0.0,1.0,0.0,586.5333333333333,nan,nan,0.0,0.0,1.0,nan,nan
LCMV,5,20,deep_plus_surface,case_weighted_within_scenario,68,1,0.8389304859017136,0.6937445426866713,1.889778057789233,55.894759395389244,51.1182455336938,6.72702147864185,1.0650942297988375,0.9610618997142599,0.7100628228039803,666.9117647058823,55.894759395389244,51.1182455336938,6.72702147864185,1.0650942297988375,0.9705882352941176,nan,nan
LCMV,5,20,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.810528600158361,0.6821887752952268,1.8970266879644857,40.064453697517465,43.46140821334101,9.11679606842002,1.5924157268990455,0.9078419773610014,0.710062815498856,655.5294117647059,40.064453697517465,43.46140821334101,9.11679606842002,1.5924157268990455,0.9705882352941176,nan,nan
LCMV,5,20,surface_only,case_weighted_within_scenario,68,1,0.5793726574554097,0.6767839797678988,1.9879411417750248,55.951053823029206,47.982983070796664,nan,nan,0.32520197174060306,nan,703.3382352941177,55.951053823029206,47.982983070796664,nan,nan,nan,0.014705882352941176,nan
LCMV,10,-10,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,1.749615364122484,nan,nan,6.180025803371382,0.0,1.0,0.0,1353.9333333333334,nan,nan,6.180025803371382,0.0,1.0,nan,nan
LCMV,10,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.8443436858989763,0.6944090515917508,1.9514930420855872,59.574821498546996,52.82149821438048,18.358041821826475,6.324003604725969,0.6129647518356045,0.5614450252700062,1206.0588235294117,59.574821498546996,52.82149821438048,18.358041821826475,6.324003604725969,0.6176470588235294,nan,nan
LCMV,10,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.81483711234522,0.6766272497288793,1.9437259066218138,40.593364608005544,40.85723301597445,19.179392696397716,8.25684199039263,0.5343308675414358,3.252668622753227,1105.6176470588234,40.593364608005544,40.85723301597445,19.179392696397716,8.25684199039263,0.5882352941176471,nan,nan
LCMV,10,-10,surface_only,case_weighted_within_scenario,68,1,0.5974160135356509,0.6726791140183056,1.9780573309115197,58.371967335715446,52.09099151190931,nan,nan,0.037369270642916515,nan,1377.5,58.371967335715446,52.09099151190931,nan,nan,nan,0.9411764705882353,nan
LCMV,10,-5,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,1.7277559407999543,nan,nan,5.493865516138356,0.0,1.0,0.0,1444.5333333333333,nan,nan,5.493865516138356,0.0,1.0,nan,nan
LCMV,10,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.8460442072197327,0.6910351755247319,1.9511234211388615,59.6730357878669,51.22085485900306,18.084868109581627,5.464963297620181,0.6821224505176079,1.0273249245515363,1326.7794117647059,59.6730357878669,51.22085485900306,18.084868109581627,5.464963297620181,0.6617647058823529,nan,nan
LCMV,10,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8174841458595028,0.678379885224631,1.9430047709453873,40.25774048496063,40.59726211017588,18.870609795157176,8.025495467350444,0.5861176854264315,1.4225890093416165,1177.7058823529412,40.25774048496063,40.59726211017588,18.870609795157176,8.025495467350444,0.6470588235294118,nan,nan
