method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
LCMV,5,5,case_weighted,185,4,0.7547145693490559,0.7043786048314921,1.942853555513491,54.57999982489047,46.932708830345646,15.605694263546203,5.287268467851791,0.47287385090835843,0.2197802318362306,1463.3189189189188,54.57999982489047,46.932708830345646,15.605694263546203,5.287268467851791,0.7777777777777778,1.0,0.8888888888888888
LCMV,5,10,case_weighted,185,4,0.7512437730051371,0.7058578947116925,1.928219619482054,53.769647238909236,47.67816049144868,13.065869323456663,3.2691008627520977,0.6294974966490879,0.8107579683872186,1226.708108108108,53.769647238909236,47.67816049144868,13.065869323456663,3.2691008627520977,0.9487179487179487,0.7352941176470589,0.8420060331825038
LCMV,5,15,case_weighted,185,4,0.7508276466786042,0.708572876491655,1.9020895913644922,53.14479558558152,48.60121467219591,9.78885014466525,1.895505294663136,0.7193240310431016,1.1443508665912197,917.772972972973,53.14479558558152,48.60121467219591,9.78885014466525,1.895505294663136,0.9572649572649573,0.16176470588235295,0.5595148315736551
LCMV,5,20,case_weighted,185,4,0.7513653305603711,0.7102181507402622,1.8600747320924182,52.751216026870864,48.33277308446439,6.559047238238687,1.0817824131699874,0.7207165972389444,0.6190291254498441,671.6918918918919,52.751216026870864,48.33277308446439,6.559047238238687,1.0817824131699874,0.9743589743589743,0.014705882352941176,0.49453242835595773
LCMV,10,-10,case_weighted,185,4,0.760779034493471,0.7079314689311661,1.9434612791934172,55.29738845530609,50.13644249371081,17.035440877028154,6.074913442689875,0.4183241244591797,1.196260572339766,1262.6054054054055,55.29738845530609,50.13644249371081,17.035440877028154,6.074913442689875,0.6581196581196581,0.9411764705882353,0.7996480643539468
LCMV,10,-5,case_weighted,185,4,0.7646792091439653,0.7087368451989253,1.9415371051084238,55.15905892769162,48.87733372000182,16.698972198538208,5.508413248958012,0.4537346203942298,0.9584466009083839,1361.9513513513514,55.15905892769162,48.87733372000182,16.698972198538208,5.508413248958012,0.7008547008547008,0.9411764705882353,0.821015585721468
LCMV,10,0,case_weighted,185,4,0.7628068708648231,0.7051547528077435,1.9381558485645207,55.069522525553936,49.2339992612051,15.792851140176476,4.35637439666862,0.4925679156277132,0.715790780054446,1431.4594594594594,55.069522525553936,49.2339992612051,15.792851140176476,4.35637439666862,0.7606837606837606,0.9411764705882353,0.850930115635998
LCMV,10,5,case_weighted,185,4,0.7622172669361144,0.7044584744509529,1.9309125595626238,54.269339525027256,45.599819225102785,14.364966327842337,3.38749921600706,0.5712584907247207,0.18691589474250306,1439.6162162162161,54.269339525027256,45.599819225102785,14.364966327842337,3.38749921600706,0.9145299145299145,0.8823529411764706,0.8984414278531925
LCMV,10,10,case_weighted,185,4,0.7588469627435089,0.7043733322797764,1.9151338946452259,53.855468329812595,45.49493177855815,12.14765758560597,2.2310839331999155,0.6830547781021297,0.4198632379272228,1379.0162162162162,53.855468329812595,45.49493177855815,12.14765758560597,2.2310839331999155,0.9658119658119658,0.5882352941176471,0.7770236299648065
LCMV,10,15,case_weighted,185,4,0.7560993184436088,0.7065780595920458,1.8886027051670924,53.30744571823985,46.80537380936671,9.280052788894196,1.4798041570795781,0.776502355198523,0.7246759630126722,1181.7621621621622,53.30744571823985,46.80537380936671,9.280052788894196,1.4798041570795781,0.9658119658119658,0.08823529411764706,0.5270236299648065
LCMV,10,20,case_weighted,185,4,0.7544725580671493,0.7087057669101485,1.848041570263281,52.786454550526834,49.931169304909254,6.380993237225824,1.031715197602208,0.7619039322416152,0.5335590383652344,883.6810810810811,52.786454550526834,49.931169304909254,6.380993237225824,1.031715197602208,0.9743589743589743,0.0,0.48717948717948717
LCMV,15,-10,case_weighted,185,4,0.763234823299976,0.7092597176548707,1.9194628348106864,54.05627679909855,48.81996753748866,13.623351772799635,3.136039593058707,0.6403482975171617,1.0834195553308559,1086.3567567567568,54.05627679909855,48.81996753748866,13.623351772799635,3.136039593058707,0.9401709401709402,0.7647058823529411,0.8524384112619406
LCMV,15,-5,case_weighted,185,4,0.7641729305318792,0.7093091262686887,1.9178545143978318,54.12808791393483,49.7747970236943,13.411906442342266,2.660785057253691,0.6335267869758061,0.5203952906297318,1134.7297297297298,54.12808791393483,49.7747970236943,13.411906442342266,2.660785057253691,0.9401709401709402,0.7941176470588235,0.8671442936148819
LCMV,15,0,case_weighted,185,4,0.7646435873036814,0.7069844242269403,1.9149940052320162,53.944357140621605,48.72873475954073,13.051665623801366,2.535523238499537,0.6312897976931481,0.6466643510534161,1227.2972972972973,53.944357140621605,48.72873475954073,13.051665623801366,2.535523238499537,0.9316239316239316,0.7647058823529411,0.8481649069884364
LCMV,15,5,case_weighted,185,4,0.7668617985061946,0.7077553854169585,1.9065365325869,53.68237481262212,47.20761642490536,12.043857982489635,1.8614762530422075,0.6946412404517845,0.5381586883481171,1310.4054054054054,53.68237481262212,47.20761642490536,12.043857982489635,1.8614762530422075,0.9658119658119658,0.6470588235294118,0.8064353946706888
LCMV,15,10,case_weighted,185,4,0.764652230258177,0.7052568854484288,1.8919174786256439,53.54914222410668,45.228963827107094,10.519027365482856,1.1171853062182204,0.7430798663938896,0.4627533094133977,1363.0216216216215,53.54914222410668,45.228963827107094,10.519027365482856,1.1171853062182204,0.9914529914529915,0.45588235294117646,0.7236676721970839
LCMV,15,15,case_weighted,185,4,0.7618485828515265,0.7058559914376928,1.8650991494318956,53.084236886260385,45.621134648338575,8.229277971641455,0.7044992176572749,0.813244147345416,0.41268609017128827,1314.8108108108108,53.084236886260385,45.621134648338575,8.229277971641455,0.7044992176572749,0.9829059829059829,0.07352941176470588,0.5282176973353444
LCMV,15,20,case_weighted,185,4,0.7572515425378747,0.705903041137693,1.8277769707021398,52.81977667450057,47.93778942027145,5.9144462711752865,0.49815617213307695,0.8062338799976171,0.4126860819745428,1144.7513513513513,52.81977667450057,47.93778942027145,5.9144462711752865,0.49815617213307695,0.9829059829059829,0.0,0.49145299145299143
LCMV,20,-10,case_weighted,185,4,0.7648510532806214,0.7108828386465692,1.8736043998628022,53.0449638682962,47.75258385883064,10.005934846406696,1.1722031609317973,0.7487680882332812,0.32721600409632445,961.0,53.0449638682962,47.75258385883064,10.005934846406696,1.1722031609317973,0.9829059829059829,0.4117647058823529,0.6973353443941679
LCMV,20,-5,case_weighted,185,4,0.7641197092068737,0.7088825865886902,1.8745355392872944,53.152639524807775,48.06185223649006,9.913630573777267,1.1874292827526487,0.7566052610284889,0.49815618133946826,987.7081081081081,53.152639524807775,48.06185223649006,9.913630573777267,1.1874292827526487,0.9829059829059829,0.3235294117647059,0.6532176973353444
LCMV,20,0,case_weighted,185,4,0.7659079270243908,0.7098304038671845,1.872363165982904,53.34180858846397,48.72376738283261,9.770962147390456,0.8101460604238607,0.7430916524664811,0.2918131305599111,1029.3621621621621,53.34180858846397,48.72376738283261,9.770962147390456,0.8101460604238607,0.9914529914529915,0.38235294117647056,0.686902966314731
LCMV,20,5,case_weighted,185,4,0.7654995966542772,0.7065982840179778,1.8653836688174505,53.3403469278498,48.43774716555783,9.209303845410027,0.7747431941917031,0.7770932403894086,0.25641026125382915,1101.8324324324324,53.3403469278498,48.43774716555783,9.209303845410027,0.7747431941917031,1.0,0.3088235294117647,0.6544117647058824
LCMV,20,10,case_weighted,185,4,0.7662744360023248,0.7050496778883647,1.8526200510298445,53.17377118899032,47.4949818655577,8.424263498667504,0.25641026125382915,0.7813676101339492,0.0,1223.2972972972973,53.17377118899032,47.4949818655577,8.424263498667504,0.25641026125382915,1.0,0.22058823529411764,0.6102941176470589
LCMV,20,15,case_weighted,185,4,0.7653307233454207,0.7044999754452491,1.8287314874025014,52.968892597812435,44.841624508724514,6.824176399085769,0.41268609017128827,0.8374538113426871,0.17094017416921944,1284.7513513513513,52.968892597812435,44.841624508724514,6.824176399085769,0.41268609017128827,1.0,0.04411764705882353,0.5220588235294118
LCMV,20,20,case_weighted,185,4,0.7619754885717815,0.7053771801534143,1.7954209556893117,52.74204693216995,44.75352481428691,5.123901940641403,0.08547008708460972,0.8312492496193757,0.08547008708460972,1254.1351351351352,52.74204693216995,44.75352481428691,5.123901940641403,0.08547008708460972,1.0,0.0,0.5
MNE,-10,-10,case_weighted,185,4,0.7377561361648441,0.7428031711273263,1.9470983659477608,73.39027582203235,73.17830834998931,23.796862801887222,24.567441804643476,0.8821544241718547,25.06182899290872,800.627027027027,73.39027582203235,73.17830834998931,23.796862801887222,24.567441804643476,0.1794871794871795,0.0,0.08974358974358974
MNE,-10,-5,case_weighted,185,4,0.7612772625725387,0.7894653702316148,1.9308124743466388,71.28252432956799,74.64536985887854,23.255633696081727,23.585362228345147,0.6961886470435862,23.17118715809756,293.9135135135135,71.28252432956799,74.64536985887854,23.255633696081727,23.585362228345147,0.2222222222222222,0.0,0.1111111111111111
MNE,-10,0,case_weighted,185,4,0.8044251521652487,0.845748942364113,1.9076975544203985,67.85423187430702,72.71364171730518,22.568311209617615,22.86858010801787,0.5275194252266768,20.842851268529007,184.9945945945946,67.85423187430702,72.71364171730518,22.568311209617615,22.86858010801787,0.27350427350427353,0.0,0.13675213675213677
MNE,-10,5,case_weighted,185,4,0.8523597189375697,0.8905813106969012,1.8749641796759762,58.578381092106554,53.51610755822461,21.64734418134845,20.725300392234377,0.4807393559947227,19.02511127457539,191.5837837837838,58.578381092106554,53.51610755822461,21.64734418134845,20.725300392234377,0.3418803418803419,0.0,0.17094017094017094
MNE,-10,10,case_weighted,185,4,0.8828429832001569,0.9231426909886492,1.8298797873264878,40.943360253454244,37.32798010772345,20.439539252105444,17.851238660902023,0.5028113361600682,16.130952757576377,256.9081081081081,40.943360253454244,37.32798010772345,20.439539252105444,17.851238660902023,0.41025641025641024,0.0,0.20512820512820512
MNE,-10,15,case_weighted,185,4,0.895643438842775,0.9339282269367409,1.7933158450254318,26.14904245076862,20.992727301614018,19.137253645625012,15.150658019304256,0.4987864803772516,13.97258112807692,324.46486486486486,26.14904245076862,20.992727301614018,19.137253645625012,15.150658019304256,0.5128205128205128,0.014705882352941176,0.26376319758672695
MNE,-10,20,case_weighted,185,4,0.8995641754668645,0.9362557649060589,1.7749460820781033,22.608472978119785,18.467389246142996,18.43102019274931,14.067114379779513,0.49751399351811093,13.82235339618174,334.1837837837838,22.608472978119785,18.467389246142996,18.43102019274931,14.067114379779513,0.5384615384615384,0.07352941176470588,0.30599547511312214
MNE,-5,-10,case_weighted,185,4,0.7885188522618807,0.7862765151997066,1.9287802432389423,71.7914583795406,68.03430688745358,24.069413503568647,25.959268895271496,0.9280187305622628,24.127640565080263,1591.664864864865,71.7914583795406,68.03430688745358,24.069413503568647,25.959268895271496,0.23076923076923078,0.0,0.11538461538461539
MNE,-5,-5,case_weighted,185,4,0.8184977928993094,0.832051676319084,1.9083648575625523,67.74415529788129,57.90186472815737,23.301525634250424,23.954501653926645,0.8407742184307408,23.351303561847992,747.4648648648649,67.74415529788129,57.90186472815737,23.301525634250424,23.954501653926645,0.2564102564102564,0.014705882352941176,0.13555806938159878
MNE,-5,0,case_weighted,185,4,0.8404451398674592,0.8737520351360663,1.884923053783756,61.18656234311453,54.14078984293071,22.377409086362338,21.178102742541125,0.637816557782588,20.568055503748756,306.62702702702705,61.18656234311453,54.14078984293071,22.377409086362338,21.178102742541125,0.27350427350427353,0.0,0.13675213675213677
MNE,-5,5,case_weighted,185,4,0.8627896191551259,0.9035486637478474,1.8549507102754783,53.01490871924025,49.96391001809587,21.437073739633583,19.81497165190829,0.4861312134789877,18.897097797401326,211.5027027027027,53.01490871924025,49.96391001809587,21.437073739633583,19.81497165190829,0.29914529914529914,0.0,0.14957264957264957
